Rank,State,Total
1,DC,"31,382"
2,NY,"26,954"
3,CT,"22,324"
4,NJ,"21,603"
5,VT,"20,594"
6,WY,"20,549"
7,PA,"19,780"
8,MA,"19,605"
9,AK,"18,868"
10,RI,"18,343"
11,DE,"18,157"
12,IL,"17,489"
13,NH,"17,475"
14,MD,"16,835"
15,ND,"16,172"
16,HI,"15,666"
17,ME,"15,534"
18,MN,"15,193"
19,OH,"14,818"
20,CA,"14,385"
21,WA,"14,248"
22,MI,"14,132"
23,NE,"13,898"
24,WI,"13,653"
25,IA,"13,531"
26,OR,"13,268"
27,SC,"13,006"
28,VA,"12,846"
29,LA,"12,810"
30,WV,"12,726"
31,KS,"12,712"
32,IN,"12,657"
33,MO,"12,492"
34,MT,"12,483"
35,NM,"11,862"
36,GA,"11,758"
37,CO,"11,727"
38,KY,"11,578"
39,TX,"11,576"
40,SD,"11,523"
41,AR,"11,404"
42,AL,"10,618"
43,NV,"10,544"
44,FL,"10,349"
45,TN,"10,143"
46,MS,"9,858"
47,NC,"9,588"
48,OK,"9,210"
49,AZ,"9,189"
50,UT,"8,775"
51,ID,"8,587"